date,home_team,away_team,home_score,away_score,competition,year,round,group,venue,pen_home,pen_away
1986-06-08,denmark,uruguay,6,1,世界杯1986小组赛 Group E,1986,Matchday 2,Group E,"Estadio Neza 86, Nezahualcóyotl",,
1986-06-08,iraq,belgium,1,2,世界杯1986小组赛 Group B,1986,Matchday 2,Group B,"Estadio Nemesio Díez, Toluca",,
1986-06-08,west_germany,scotland,2,1,世界杯1986小组赛 Group E,1986,Matchday 2,Group E,"Estadio La Corregidora, Querétaro",,
1986-06-09,hungary,france,0,3,世界杯1986小组赛 Group C,1986,Matchday 3,Group C,"Estadio Nou Camp, León",,
1986-06-09,soviet_union,canada,2,0,世界杯1986小组赛 Group C,1986,Matchday 3,Group C,"Estadio Sergio León Chavez, Irapuato",,
1986-06-10,argentina,bulgaria,2,0,世界杯1986小组赛 Group A,1986,Matchday 3,Group A,"Estadio Olímpico Universitario, Mexico City",,
1986-06-10,south_korea,italy,2,3,世界杯1986小组赛 Group A,1986,Matchday 3,Group A,"Estadio Cuauhtémoc, Puebla",,
1986-06-11,england,poland,3,0,世界杯1986小组赛 Group F,1986,Matchday 3,Group F,"Estadio Tecnológico, Monterrey",,
1986-06-11,iraq,mexico,0,1,世界杯1986小组赛 Group B,1986,Matchday 3,Group B,"Estadio Azteca, Mexico City",,
1986-06-11,paraguay,belgium,2,2,世界杯1986小组赛 Group B,1986,Matchday 3,Group B,"Estadio Nemesio Díez, Toluca",,
1986-06-11,portugal,morocco,1,3,世界杯1986小组赛 Group F,1986,Matchday 3,Group F,"Estadio Tres de Marzo, Guadalajara",,
1986-06-12,algeria,spain,0,3,世界杯1986小组赛 Group D,1986,Matchday 3,Group D,"Estadio Tecnológico, Monterrey",,
1986-06-12,northern_ireland,brazil,0,3,世界杯1986小组赛 Group D,1986,Matchday 3,Group D,"Estadio Jalisco, Guadalajara",,
1986-06-13,denmark,west_germany,2,0,世界杯1986小组赛 Group E,1986,Matchday 3,Group E,"Estadio La Corregidora, Querétaro",,
1986-06-13,scotland,uruguay,0,0,世界杯1986小组赛 Group E,1986,Matchday 3,Group E,"Estadio Neza 86, Nezahualcóyotl",,
1986-06-15,mexico,bulgaria,2,0,世界杯1986十六强,1986,Round of 16,,"Estadio Azteca, Mexico City",,
1986-06-15,soviet_union,belgium,2,2,世界杯1986十六强,1986,Round of 16,,"Estadio Nou Camp, León",,
1986-06-16,argentina,uruguay,1,0,世界杯1986十六强,1986,Round of 16,,"Estadio Cuauhtémoc, Puebla",,
1986-06-16,brazil,poland,4,0,世界杯1986十六强,1986,Round of 16,,"Estadio Jalisco, Guadalajara",,
1986-06-17,italy,france,0,2,世界杯1986十六强,1986,Round of 16,,"Estadio Olímpico Universitario, Mexico City",,
1986-06-17,morocco,west_germany,0,1,世界杯1986十六强,1986,Round of 16,,"Estadio Universitario, Monterrey",,
1986-06-18,denmark,spain,1,5,世界杯1986十六强,1986,Round of 16,,"Estadio La Corregidora, Querétaro",,
1986-06-18,england,paraguay,3,0,世界杯1986十六强,1986,Round of 16,,"Estadio Azteca, Mexico City",,
1986-06-21,brazil,france,1,1,世界杯1986决赛,1986,Quarter-finals,,"Estadio Jalisco, Guadalajara",3,4
1986-06-21,west_germany,mexico,0,0,世界杯1986决赛,1986,Quarter-finals,,"Estadio Universitario, Monterrey",4,1
1986-06-22,argentina,england,2,1,世界杯1986决赛,1986,Quarter-finals,,"Estadio Azteca, Mexico City",,
1986-06-22,spain,belgium,1,1,世界杯1986决赛,1986,Quarter-finals,,"Estadio Cuauhtémoc, Puebla",4,5
1986-06-25,argentina,belgium,2,0,世界杯1986决赛,1986,Semi-finals,,"Estadio Azteca, Mexico City",,
1986-06-25,france,west_germany,0,2,世界杯1986决赛,1986,Semi-finals,,"Estadio Jalisco, Guadalajara",,
1986-06-28,france,belgium,2,2,世界杯1986季军赛,1986,Third place match,,"Estadio Cuauhtémoc, Puebla",,
1986-06-29,argentina,west_germany,3,2,世界杯1986决赛,1986,Final,,"Estadio Azteca, Mexico City",,
1990-06-08,argentina,cameroon,0,1,世界杯1990小组赛 Group B,1990,Matchday 1,Group B,"San Siro, Milan",,
1990-06-09,italy,austria,1,0,世界杯1990小组赛 Group A,1990,Matchday 1,Group A,"Stadio Olimpico, Rome",,
1990-06-09,soviet_union,romania,0,2,世界杯1990小组赛 Group B,1990,Matchday 1,Group B,"Stadio San Nicola, Bari",,
1990-06-09,united_arab_emirates,colombia,0,2,世界杯1990小组赛 Group D,1990,Matchday 1,Group D,"Stadio Renato Dall'Ara, Bologna",,
1990-06-10,brazil,sweden,2,1,世界杯1990小组赛 Group C,1990,Matchday 1,Group C,"Stadio Delle Alpi, Turin",,
1990-06-10,united_states,czechoslovakia,1,5,世界杯1990小组赛 Group A,1990,Matchday 1,Group A,"Stadio Comunale, Florence",,
1990-06-10,west_germany,yugoslavia,4,1,世界杯1990小组赛 Group D,1990,Matchday 1,Group D,"San Siro, Milan",,
1990-06-11,costa_rica,scotland,1,0,世界杯1990小组赛 Group C,1990,Matchday 1,Group C,"Stadio Luigi Ferraris, Genoa",,
1990-06-11,england,ireland,1,1,世界杯1990小组赛 Group F,1990,Matchday 1,Group F,"Stadio Sant'Elia, Cagliari",,
1990-06-12,belgium,south_korea,2,0,世界杯1990小组赛 Group E,1990,Matchday 1,Group E,"Stadio Marc'Antonio Bentegodi, Verona",,
1990-06-12,netherlands,egypt,1,1,世界杯1990小组赛 Group F,1990,Matchday 1,Group F,"Stadio La Favorita, Palermo",,
1990-06-13,argentina,soviet_union,2,0,世界杯1990小组赛 Group B,1990,Matchday 1,Group B,"Stadio San Paolo, Naples",,
1990-06-13,uruguay,spain,0,0,世界杯1990小组赛 Group E,1990,Matchday 1,Group E,"Stadio Friuli, Udine",,
1990-06-14,cameroon,romania,2,1,世界杯1990小组赛 Group B,1990,Matchday 2,Group B,"Stadio San Nicola, Bari",,
1990-06-14,italy,united_states,1,0,世界杯1990小组赛 Group A,1990,Matchday 2,Group A,"Stadio Olimpico, Rome",,
